COUNCIL,DEPARTMENT,SERVICE,SECTION,TEAM,FTE_DAYS_LOST,PERIOD_FTE,ABSENCE RATE,HEADCOUNT
West Dunbartonshire Coun,Chief Exec Office,People & Technology,Business Support,HR Service Centre,0,12,0,12
West Dunbartonshire Coun,Chief Exec Office,People & Technology,Business Support,Pay & Remuneration,0,5.64,0,6
West Dunbartonshire Coun,Chief Exec Office,People & Technology,Business Support,Pay & Remuneration,1.72,0.5,3.44,1
West Dunbartonshire Coun,Chief Exec Office,People & Technology,Health & Safety,Health & Safety,0,4.41,0,5
West Dunbartonshire Coun,Chief Exec Office,People & Technology,Health & Safety,Health & Safety,30,1,30,1
West Dunbartonshire Coun,Chief Exec Office,People & Technology,ICT,IT Business Applic Mgt,0,10.31,0,13
West Dunbartonshire Coun,Chief Exec Office,People & Technology,ICT,IT Device Management,0,16.19,0,17
West Dunbartonshire Coun,Chief Exec Office,People & Technology,ICT,IT Device Management,1,1,1,1
West Dunbartonshire Coun,Chief Exec Office,People & Technology,ICT,IT Device Management,10,1,10,1
West Dunbartonshire Coun,Chief Exec Office,People & Technology,ICT,IT Infrastructure Mgt,0,20.91,0,23
West Dunbartonshire Coun,Chief Exec Office,People & Technology,ICT,IT Infrastructure Mgt,2,1,2,1
West Dunbartonshire Coun,Chief Exec Office,People & Technology,ICT,IT Management,0,3,0,3
West Dunbartonshire Coun,Chief Exec Office,People & Technology,People & Change,Organisational Dev,0,10.37,0,11
West Dunbartonshire Coun,Chief Exec Office,People & Technology,People & Change,Strategic HR,0,14.89,0,16
West Dunbartonshire Coun,Chief Exec Office,Regulatory,Democratic Services,Democratic Services,0,9.62,0,11
West Dunbartonshire Coun,Chief Exec Office,Regulatory,Democratic Services,Leadership Support Team,0,7,0,7
West Dunbartonshire Coun,Chief Exec Office,Regulatory,Democratic Services,Registration,0,5.64,0,9
West Dunbartonshire Coun,Chief Exec Office,Regulatory,Democratic Services,Registration,1,0.5,2,1
West Dunbartonshire Coun,Chief Exec Office,Regulatory,Democratic Services,Registration,8.93,0.5,17.86,1
West Dunbartonshire Coun,Chief Exec Office,Regulatory,Legal Services,Contracts & Property,0,7.26,0,8
West Dunbartonshire Coun,Chief Exec Office,Regulatory,Legal Services,Licensing,0,5,0,5
West Dunbartonshire Coun,Chief Exec Office,Regulatory,Legal Services,Licensing,10.71,1,10.71,1
West Dunbartonshire Coun,Chief Exec Office,Regulatory,Legal Services,Litigation & Support,0,3.76,0,4
West Dunbartonshire Coun,Chief Exec Office,Regulatory,Legal Services,Records Management,0,2,0,2
West Dunbartonshire Coun,Chief Exec Office,Regulatory,Legal Services,Trading Standards,0,5.91,0,6
West Dunbartonshire Coun,Chief Exec Office,Regulatory,Planning & Building Cont,Building Standards,0,5.9,0,7
West Dunbartonshire Coun,Chief Exec Office,Regulatory,Planning & Building Cont,Building Standards,5.71,1,5.71,1
